id,title,type,description,release_year,age_certification,runtime,genres,imdb_id,imdb_score
ts79780,My Brilliant Friend,SHOW,"When the most important friend in her life seems to have disappeared without a trace, Elena Greco, a now-elderly woman immersed in a house full of books, turns on her computer and starts writing the story of their friendship.",2018,TV-MA,58,"['drama', 'family', 'romance', 'european']",tt7278862,8.6
ts25314,Whose Line Is It Anyway?,SHOW,"The show where everything's made up and the points don't matter. Not a talk show, not a sitcom, not a game show, Whose Line Is It Anyway? is a completely unique concept to network television. Four talented actors perform completely unrehearsed skits and games in front of a studio audience. Host Drew Carey sets the scene, with contributions from the audience, but the actors rely completely on their quick wit and improvisational skills. It's genuinely improvised, so anything can happen - and often does.",1998,TV-14,21,['comedy'],tt0163507,8.5
ts34727,Off the Air,SHOW,"A collection of psychedelic and visually complex animation, art, and culture.",2011,TV-MA,13,"['scifi', 'comedy', 'horror', 'music', 'animation']",tt2289131,8.5
ts20760,Silicon Valley,SHOW,"In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success. Partially inspired by Mike Judge’s own experiences as a Silicon Valley engineer in the late ‘80s, Silicon Valley is an American sitcom that centers around six programmers who are living together and trying to make it big in the Silicon Valley.",2014,TV-MA,29,['comedy'],tt2575988,8.5
ts20599,Generation Kill,SHOW,The first 40 days of the war in Iraq as seen through the eyes of an elite group of U.S. Marines who spearheaded the invasion along with an embedded Rolling Stone reporter. A vivid account of the soldiers and of the forces that guided them in an often-improvised initiative.,2008,TV-MA,67,"['drama', 'action', 'war']",tt0995832,8.5
ts22225,Regular Show,SHOW,"Two bored groundskeepers, Mordecai (a six-foot-tall blue jay) and Rigby (a hyperactive raccoon) are best friends who spend their days trying to entertain themselves by any means necessary, much to the displeasure of their boss. Their everyday pursuits often lead to things spiraling out of control and into the surreal.",2010,TV-PG,12,"['comedy', 'action', 'family', 'fantasy', 'scifi', 'animation']",tt1710308,8.5
ts21601,Samurai Jack,SHOW,"A great warrior is displaced to the distant future by the evil shape-shifting wizard Aku. The world has become a bleak place under the rule of Aku, segregated into fantastic tribes and ruled by Aku's evil robot warlords. Jack travels this foreign landscape in search of a time portal that can return him to his home time so he can ""undo the future that is Aku!"".",2001,TV-14,23,"['scifi', 'action', 'thriller', 'animation', 'drama', 'fantasy']",tt0278238,8.5
ts20587,Southland,SHOW,"A raw and authentic look into the Los Angeles crime scene, going far inside the lives of cops, criminals, victims and their families. The show centers on four main characters: Officer John Cooper, a seasoned cop who will have to prove himself again after recovering from surgery; Officer Ben Sherman, who still has much to learn after recently completing his training rotation; Detective Lydia Adams, whose unending caseload hits closer to home; and Sammy Bryant, a former detective who decided to go back to being a uniform cop after the traumatic death of his partner.",2009,TV-14,47,"['drama', 'crime', 'thriller']",tt1299368,8.5
tm308909,Beah: A Black Woman Speaks,MOVIE,"Beah: A Black Woman Speaks is a 2003 documentary about the life of Academy Award nominated actress Beah Richards. Directed by Lisa Gay Hamilton, it won the Documentary Award at the AFI Los Angeles International Film Festival in 2003.",2003,,88,['documentation'],tt0350596,8.5
tm864750,Fandango at the Wall,MOVIE,"Fandango at the Wall follows Afro Latin Jazz Orchestra founder/conductor Arturo O'Farrill to the remotest regions of Veracruz, Mexico, where he meets and jams with the masters of son jarocho. Son jarocho is 300-year-old folk music rooted in the land that combines African, Indigenous and Spanish traditions. After Arturo's inspiring journey to a place where time seems to stands still, he and his orchestra join the masters of son jarocho at the border between the United States and Mexico for a son jarocho music and dance festival called Fandango Fronterizo (founded by Jorge Francisco Castillo). The festival takes place simultaneously on both sides of the United States/Mexican border transforming this object that divides to one that unites. With a poetic musical approach inspired by the son jarocho tradition, Fandango at the Wall reveals a Mexico seldom depicted, and delves into the current mass human migrations spurred by violence, poverty, and corruption.",2020,,92,"['documentation', 'music']",tt11278140,8.5
