id,title,type,description,release_year,age_certification,runtime,genres,imdb_id,imdb_score
ts4866,Fated to Love You,SHOW,"Fated to Love You, also known as You're My Destiny, Sticky Note Girl or Destiny Love, is a 2008 Taiwanese drama starring Joe Chen, Ethan Juan, Baron Chen and Bianca Bai. It was produced by Sanlih E-Television and directed by Chen Ming Zhang with location filming in Taiwan, Hong Kong and Shanghai. It holds the record for the highest average single-episode rating at 10.91 with a peak at 13.64 for episode 20 broadcast on 27 July 2008, and broke the previous record held by The Prince Who Turns Into a Frog.

The series was first broadcast in Taiwan on free-to-air Taiwan Television from 16 March 2008 to 24 August 2008, every Sunday at 22:00 and cable TV Sanlih E-Television from 22 March 2008 to 30 August 2008, every Saturday at 21:00.

Fated to Love You was nominated in 2008 for six awards at the 43rd Golden Bell Awards, Taiwan. It was awarded the 2008 Best Television Series and Best Marketing Programme.

Fated to Love You is now aired on Saturday's on Hawaii's KIKU Television at 8:00.",2008,TV-G,67,"['comedy', 'family', 'drama', 'romance']",tt1483930,7.4
ts95011,Move,SHOW,"The series is called MOVE and each episode brings us inside the life of a Canadian living with mental illness who has found a positive way to ""self-medicate"" through the discovery of exercise and human movement.",2018,TV-MA,48,['documentation'],tt9165300,7.4
tm102848,Peepli Live,MOVIE,"Natha decides to commit suicide to get the farmers' compensation. However, the media and politicians learn about his intentions and descend on their village to capture the rare event.",2010,PG,104,"['drama', 'comedy']",tt1447508,7.4
ts288472,You Are My Spring,SHOW,A hotel concierge and a psychiatrist with traumatic childhoods form a heartfelt bond when they become entangled in a perplexing local murder case.,2021,,69,"['drama', 'romance', 'thriller', 'fantasy']",tt14169816,7.4
ts76313,Sisters,SHOW,"Sisters follows the story of three women who discover that they are sisters. Julia finds out that her Nobel prize winning father secretly used his own sperm in a number of ""In Vitro Fertilisation"" procedures.",2017,TV-14,39,"['drama', 'comedy']",tt8453436,7.4
tm320727,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",MOVIE,"In this new stand-up special, Norm Macdonald delivers sly, deadpan observations from an older -- and perhaps even wiser -- point of view.",2017,,60,"['comedy', 'documentation']",tt6879602,7.4
tm315174,Phantom Thread,MOVIE,"In 1950s London, renowned British dressmaker Reynolds Woodcock comes across Alma, a young, strong-willed woman, who soon becomes ever present in his life as his muse and lover.",2017,R,130,"['drama', 'romance']",tt5776858,7.4
tm164591,Apaharan,MOVIE,"Story of a tumultuous and complex relationship between a father (Mohan Agashe) and son (Ajay Devgan), set against the backdrop of a thriving kidnapping industry in the Hindi heartland of Bihar.",2005,,173,"['crime', 'drama', 'action']",tt0451631,7.4
tm502532,Fantastic Fungi,MOVIE,"Fantastic Fungi is a descriptive time-lapse journey about the magical, mysterious and medicinal world of fungi and their power to heal, sustain and contribute to the regeneration of life on Earth that began 3.5 billion years ago.",2019,,81,['documentation'],tt8258074,7.4
tm828369,Lunana: A Yak in the Classroom,MOVIE,A teacher struggling for inspiration travels to the most remote school in the world. It takes being so far away to understand the importance of his work... and to appreciate the value of yak dung!,2019,,109,"['drama', 'family']",tt10189300,7.4
ts223126,The Confession Killer,SHOW,Henry Lee Lucas rose to infamy when he confessed to hundreds of unsolved murders. This docuseries examines the truth -- and horrifying consequences.,2019,TV-14,48,"['crime', 'documentation']",tt11307176,7.4
ts38734,Marcella,SHOW,"Marcella is shocked to the core of her being when her husband Jason leaves her unexpectedly, confessing he no longer loves her. Heartbroken, Marcella returns to the Met’s Murder Squad. Ten years ago Marcella gave up her fast-tracked police career to marry and devote her life to her family. With the abrupt end to her marriage and isolated from her 13 year old daughter and 10 year old son, Marcella throws herself into work to stop herself from falling apart.",2016,TV-MA,45,"['crime', 'drama', 'european']",tt5269594,7.4
ts987,Danger Mouse,SHOW,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,TV-Y,14,"['animation', 'comedy', 'family', 'scifi', 'european']",tt0081848,7.4
tm74780,The Bucket List,MOVIE,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",2007,PG-13,97,"['drama', 'comedy', 'european']",tt0825232,7.4
ts265991,The Cook of Castamar,SHOW,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",2021,TV-MA,55,['drama'],tt12626014,7.4
tm144835,Sergio,MOVIE,"Charismatic, charming and complex, Sérgio Vieira de Mello was the world's go-to guy, a man who could descend into the most dangerous places, charm the worst war criminals, and somehow protect the lives of the ordinary people to whom he'd devoted his life. The documentary tells the story of his most treacherous mission ever... a mission in which his own life hangs in the balance.",2009,,94,['documentation'],tt1333656,7.4
tm367065,Shirkers,MOVIE,"In 1992, teenager Sandi Tan shot Singapore's first indie road movie with her enigmatic American mentor Georges – who then vanished with all the footage. Twenty years later, the 16mm film is recovered, sending Tan, now a novelist in Los Angeles, on a personal odyssey in search of Georges' vanishing footprints.",2018,,96,['documentation'],tt7472352,7.4
tm43808,The Talented Mr. Ripley,MOVIE,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.",1999,R,139,"['thriller', 'drama', 'crime']",tt0134119,7.4
tm244220,Darkest Hour,MOVIE,"A thrilling and inspiring true story begins on the eve of World War II as, within days of becoming Prime Minister of Great Britain, Winston Churchill must face one of his most turbulent and defining trials: exploring a negotiated peace treaty with Nazi Germany, or standing firm to fight for the ideals, liberty and freedom of a nation. As the unstoppable Nazi forces roll across Western Europe and the threat of invasion is imminent, and with an unprepared public, a skeptical King, and his own party plotting against him, Churchill must withstand his darkest hour, rally a nation, and attempt to change the course of world history.",2017,PG-13,125,"['drama', 'history', 'war', 'thriller', 'family']",tt4555426,7.4
tm36475,Kabhi Khushi Kabhie Gham,MOVIE,"Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",2001,G,210,"['drama', 'romance']",tt0248126,7.4
ts87953,Locke & Key,SHOW,"Three siblings who move into their ancestral estate after their father's gruesome murder discover their new home's magical keys, which must be used in their stand against an evil creature who wants the keys and their powers.",2020,TV-14,48,"['drama', 'thriller', 'scifi', 'horror', 'fantasy']",tt3007572,7.4
tm149209,Kaminey,MOVIE,"Two brothers, as different as chalk and cheese, find their lives intertwined when one puts himself in danger via a `get rich quick' scheme and the other finds there is a price on his head.",2009,PG-13,135,"['crime', 'drama', 'action', 'thriller']",tt1274295,7.4
ts219101,Marianne,SHOW,"When a novelist realizes her terrifying stories are coming true, she returns to her hometown to face the demons from her past that inspire her writing.",2019,TV-MA,45,"['thriller', 'drama', 'horror']",tt10875696,7.4
tm305129,Sing 2,MOVIE,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021,PG,110,"['comedy', 'family', 'fantasy', 'music', 'drama', 'animation']",tt6467266,7.4
ts223759,Killer Inside: The Mind of Aaron Hernandez,SHOW,"Via interviews with friends, players and insiders, this docuseries examines how Aaron Hernandez went from an NFL star to a convicted killer.",2020,TV-MA,67,"['documentation', 'crime', 'sport']",tt11475228,7.4
ts249891,The Comey Rule,SHOW,"An immersive, behind-the-headlines account of the historically turbulent events surrounding the 2016 presidential election and its aftermath, which divided a nation. This two-part biopic tells the story of two powerful figures, Comey and Trump, whose strikingly different personalities, ethics and loyalties put them on a collision course.",2020,TV-MA,82,"['war', 'drama']",tt9174536,7.4
tm363088,Russell Howard: Recalibrate,MOVIE,"Self-deprecating comic Russell Howard plows ahead through politics, porn, social media and his own shortcomings. Yet he somehow keeps it positive.",2017,,69,['comedy'],tt7736664,7.4
ts84056,Unauthorized Living,SHOW,"When a Galician shipper and drug lord hiding his Alzheimer's disease plans to retire, his second-in-command plots to steal the empire from the heir.",2018,TV-MA,75,['drama'],tt6970700,7.4
tm1126268,Hustle,MOVIE,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,2022,R,117,"['drama', 'sport', 'comedy']",tt8009428,7.4
ts57281,All Hail King Julien: Exiled,SHOW,"Julien's been dethroned, but loyal friends and some very unlikely allies will propel the lovable lemur on a colorful journey to take back his kingdom.",2017,TV-Y7,23,"['animation', 'comedy', 'family', 'fantasy']",tt6865906,7.4
tm196296,A Monster Calls,MOVIE,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,2016,PG-13,108,"['drama', 'animation', 'family', 'fantasy', 'thriller', 'european']",tt3416532,7.4
ts353844,Keep Sweet: Pray and Obey,SHOW,"In interviews and rare home video footage, ex-FLDS members share the truth about their isolated community — and the events that pushed them to leave.",2022,TV-MA,49,"['crime', 'documentation']",tt20560404,7.4
ts216407,Age of Samurai: Battle for Japan,SHOW,An exploration of the warring kingdoms of feudal Japan when several powerful warlords fought to become absolute ruler.,2021,TV-MA,43,"['documentation', 'action', 'drama', 'history', 'war']",tt10551256,7.4
ts251378,Mystery Lab,SHOW,"Host Felipe Castanhari explores science, history, mysteries and marvels, uncovering mind-blowing facts with help from his lab buddies.",2020,TV-PG,26,"['comedy', 'family', 'documentation', 'animation']",tt12723962,7.4
ts287045,Fatma,SHOW,"Reeling from tragedy, a nondescript house cleaner embarks on a murderous streak as she searches for her missing husband and reckons with old wounds.",2021,TV-MA,42,"['drama', 'thriller', 'crime']",tt11961378,7.4
tm847629,Dolly Parton: Here I Am,MOVIE,"Dolly Parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career.",2019,,89,"['documentation', 'music']",tt11497544,7.3
